run1,,Baseline 100%T,,GaAs,,
eV,Abs,eV,%T,eV,%T,
0.4141945541,-0.01259633061,0.4141945541,102.9324799,0.4141945541,49.10439682,
0.4143755734,-0.01099445019,0.4143755734,102.9074783,0.4143755734,49.11238098,
0.4145565927,-0.01260050479,0.4145565927,102.9036179,0.4145565927,49.250103,
0.414737612,-0.01222345792,0.414737612,102.9354477,0.414737612,49.11827087,
0.4149186015,-0.01258219872,0.4149186015,102.8459778,0.4149186015,49.28203201,
0.4150996506,-0.01186507475,0.4150996506,102.9492645,0.4150996506,49.1352272,
0.4152806699,-0.01158312615,0.4152806699,102.9338608,0.4152806699,49.00537491,
0.4154616892,-0.01222753432,0.4154616892,102.8298721,0.4154616892,49.1536293,
0.4156426787,-0.01163716149,0.4156426787,102.7984161,0.4156426787,49.19084167,
0.415823698,-0.0127735734,0.415823698,102.9621964,0.415823698,49.10029602,
0.4160047174,-0.01134976838,0.4160047174,102.9556274,0.4160047174,49.059021,
0.4161857665,-0.0118530849,0.4161857665,102.8974915,0.4161857665,49.02266312,
0.416366756,-0.01196470857,0.416366756,102.8718719,0.416366756,49.16324234,
0.4165477753,-0.01203863788,0.4165477753,102.9035187,0.4165477753,49.16086578,
0.4167287946,-0.01171648875,0.4167287946,102.8346863,0.4167287946,49.09815979,
0.4169098139,-0.01212040987,0.4169098139,102.8200836,0.4169098139,49.14353561,
0.4170908034,-0.01217523403,0.4170908034,102.8367844,0.4170908034,49.20351791,
0.4172718525,-0.01126759965,0.4172718525,102.809227,0.4172718525,49.07427979,
0.4174528718,-0.01180346031,0.4174528718,103.0034561,0.4174528718,49.01648331,
0.4176338911,-0.01186945755,0.4176338911,102.7997971,0.4176338911,49.12390518,
0.4178148806,-0.01186759397,0.4178148806,102.7200928,0.4178148806,49.18473053,
0.4179958999,-0.01203440782,0.4179958999,102.7607193,0.4179958999,49.10522842,
0.4181769192,-0.01177181769,0.4181769192,102.8599472,0.4181769192,49.18083954,
0.4183579385,-0.01146560628,0.4183579385,102.8309326,0.4183579385,49.12391281,
0.4185389876,-0.01275321376,0.4185389876,103.0083313,0.4185389876,49.11998367,
0.4187199771,-0.0119225001,0.4187199771,102.878334,0.4187199771,49.15385437,
0.4189009964,-0.01178733632,0.4189009964,102.8767242,0.4189009964,49.16674042,
0.4190820158,-0.01178758871,0.4190820158,102.9709778,0.4190820158,49.11565018,
0.4192630351,-0.01167541556,0.4192630351,102.7849808,0.4192630351,49.1485405,
0.4194440246,-0.01181393955,0.4194440246,102.7843475,0.4194440246,49.240242,
0.4196250737,-0.011782852,0.4196250737,102.7979584,0.4196250737,49.25329208,
0.419806093,-0.01166538615,0.419806093,102.7570267,0.419806093,49.2307663,
0.4199871123,-0.01128994673,0.4199871123,102.7318954,0.4199871123,49.27381516,
0.4201681018,-0.01156654116,0.4201681018,102.7123337,0.4201681018,49.21243286,
0.4203491211,-0.0115714306,0.4203491211,102.8245468,0.4203491211,49.16584396,
0.4205301404,-0.01146313548,0.4205301404,102.792511,0.4205301404,49.14514923,
0.4207111895,-0.0114869345,0.4207111895,102.7718811,0.4207111895,49.16851044,
0.420892179,-0.0110909529,0.420892179,102.6843796,0.420892179,49.18906021,
0.4210731983,-0.01104679238,0.4210731983,102.642334,0.4210731983,49.22280121,
0.4212542176,-0.01085712854,0.4212542176,102.7636871,0.4212542176,49.06025314,
0.4214352369,-0.01128681935,0.4214352369,102.6997223,0.4214352369,49.17462158,
0.4216162264,-0.01083526388,0.4216162264,102.6920929,0.4216162264,49.25157166,
0.4217972755,-0.01076754369,0.4217972755,102.7110367,0.4217972755,49.18455505,
0.4219782948,-0.01118960325,0.4219782948,102.6136398,0.4219782948,49.23699951,
0.4221593142,-0.01083349716,0.4221593142,102.6536331,0.4221593142,49.14770508,
0.4223403037,-0.01075971499,0.4223403037,102.5795898,0.4223403037,49.20925903,
0.422521323,-0.01055183727,0.422521323,102.5918579,0.422521323,49.1319313,
0.4227023423,-0.01072011795,0.4227023423,102.6011124,0.4227023423,49.15190887,
0.4228833616,-0.01081057079,0.4228833616,102.5898819,0.4228833616,49.14247894,
0.4230644107,-0.01045531593,0.4230644107,102.532814,0.4230644107,49.21192551,
0.4232454002,-0.01054632943,0.4232454002,102.5369415,0.4232454002,49.10556793,
0.4234264195,-0.01040669344,0.4234264195,102.5556335,0.4234264195,49.12143326,
0.4236074388,-0.01060736552,0.4236074388,102.5733795,0.4236074388,49.10025787,
0.4237884581,-0.01024066843,0.4237884581,102.4929199,0.4237884581,49.16192245,
0.4239694476,-0.01039446052,0.4239694476,102.5255661,0.4239694476,49.06111526,
0.4241504967,-0.01033142395,0.4241504967,102.4908752,0.4241504967,49.13987732,
0.424331516,-0.01020506863,0.424331516,102.4937592,0.424331516,49.13112259,
0.4245125353,-0.010196927,0.4245125353,102.4677658,0.4245125353,49.16132355,
0.4246935248,-0.009981695563,0.4246935248,102.4358978,0.4246935248,49.14647293,
0.4248745441,-0.01005768403,0.4248745441,102.4013672,0.4248745441,49.20922089,
0.4250555634,-0.00982011389,0.4250555634,102.5171967,0.4250555634,49.11388016,
0.4252366126,-0.0098595405,0.4252366126,102.4368744,0.4252366126,49.11352539,
0.4254176021,-0.00978726428,0.4254176021,102.3871918,0.4254176021,49.10906982,
0.4255986214,-0.009964746423,0.4255986214,102.456543,0.4255986214,49.06258774,
0.4257796407,-0.009920673445,0.4257796407,102.3642654,0.4257796407,49.10215378,
0.42596066,-0.01011474151,0.42596066,102.3786926,0.42596066,49.10316467,
0.4261416495,-0.009625154547,0.4261416495,102.3257599,0.4261416495,49.12691879,
0.4263226986,-0.009672041982,0.4263226986,102.3276062,0.4263226986,49.12446594,
0.4265037179,-0.009522145614,0.4265037179,102.2390976,0.4265037179,49.18065643,
0.4266847372,-0.009608494118,0.4266847372,102.3339539,0.4266847372,49.0790596,
0.4268657267,-0.009580590762,0.4268657267,102.3324585,0.4268657267,49.18037796,
0.427046746,-0.009610013105,0.427046746,102.3220978,0.427046746,49.14159775,
0.4272277653,-0.009338706732,0.4272277653,102.2823944,0.4272277653,49.16414261,
0.4274087846,-0.009456094354,0.4274087846,102.3570786,0.4274087846,49.13640594,
0.4275898337,-0.009393477812,0.4275898337,102.2525787,0.4275898337,49.1618309,
0.4277708232,-0.009053996764,0.4277708232,102.2656174,0.4277708232,49.24034119,
0.4279518425,-0.009104545228,0.4279518425,102.1737823,0.4279518425,49.31403732,
0.4281328619,-0.009209680371,0.4281328619,102.255867,0.4281328619,49.20676804,
0.4283138812,-0.009117625654,0.4283138812,102.3525848,0.4283138812,49.17935562,
0.4284948707,-0.009055872448,0.4284948707,102.2689819,0.4284948707,49.16926193,
0.4286759198,-0.009025095031,0.4286759198,102.2235413,0.4286759198,49.21741104,
0.4288569391,-0.008981281891,0.4288569391,102.1870499,0.4288569391,49.19765091,
0.4290379584,-0.009004811756,0.4290379584,102.1817551,0.4290379584,49.1901207,
0.4292189479,-0.008845250122,0.4292189479,102.1516571,0.4292189479,49.18305206,
0.4293999672,-0.008741447702,0.4293999672,102.1314163,0.4293999672,49.19715118,
0.4295809865,-0.00871232152,0.4295809865,102.1428909,0.4295809865,49.20785522,
0.4297620356,-0.008769404143,0.4297620356,102.0995941,0.4297620356,49.15678787,
0.4299430251,-0.008468176238,0.4299430251,102.0384521,0.4299430251,49.21522903,
0.4301240444,-0.008696895093,0.4301240444,102.0444641,0.4301240444,49.09276199,
